Teams,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Mumbai Indians,,,,,,,,,,,,,0.507
Deccan Chargers,,,,,,,,,,,,,0
Royal Challengers Bangalore,,,,,,,,,,,,,-0.589
Delhi Capitals,,,,,,,,,,,,,-0.23
Kings XI Punjab,,,,,,,,,,,,,-0.26
Pune Warriors,,,,,,,,,,,,,0
Kochi Tuskers Kerala,,,,,,,,,,,,,0
Rising Pune Supergiants,,,,,,,,,,,,,0
Gujarat Lions,,,,,,,,,,,,,0
Sunrisers Hyderabad,,,,,,,,,,,,,0.486
Rajasthan Royals,,,,,,,,,,,,,-0.093
Chennai Super Kings,,,,,,,,,,,,,0.361
Kolkata Knight Riders,,,,,,,,,,,,,0.6
