Teams,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Mumbai Indians,0.57,0.297,1.084,0.04,-0.1,0.441,0.095,-0.043,-0.146,0.784,0.317,0.421
Deccan Chargers,-0.467,0.203,-0.297,0.222,-0.509,0,0,0,0,0,0,0
Royal Challengers Bangalore,-1.16,-0.191,0.219,0.326,-0.022,0.457,-0.428,1.037,0.932,-1.299,0.129,-0.607
Delhi Capitals,0.342,0.311,0.021,-0.448,0.617,-0.848,-1.182,-0.049,-0.155,-0.512,-0.22,0.044
Kings XI Punjab,0.509,-0.483,-0.478,-0.051,-0.216,0.226,0.968,-1.436,-0.646,-0.009,-0.502,-0.251
Pune Warriors,0,0,0,-0.134,-0.551,-1.006,0,0,0,0,0,0
Kochi Tuskers Kerala,0,0,0,-0.324,0,0,0,0,0,0,0,0
Rising Pune Supergiants,0,0,0,0,0,0,0,0,0.015,0.176,0,0
Gujarat Lions,0,0,0,0,0,0,0,0,-0.374,-0.412,0,0
Sunrisers Hyderabad,0,0,0,0,0,0.003,-0.399,-0.239,0.245,0.599,0.284,0.577
Rajasthan Royals,0.632,-0.352,-0.514,-0.691,0.201,0.322,0.06,0.062,0,0,-0.25,-0.449
Chennai Super Kings,-0.192,0.951,0.374,0.443,0.1,0.53,0.385,0.709,0,0,0.253,0.131
Kolkata Knight Riders,-0.147,-0.789,-0.341,0.433,0.561,-0.095,0.418,0.253,0.106,0.642,-0.07,0.028
