Run_Rate(team1),Run_Rate(team2)
-0.147,-1.16
-0.192,0.509
0.632,0.342
0.57,-1.16
-0.467,-0.147
0.509,0.632
-0.467,0.342
-0.192,0.57
-0.467,0.632
0.509,0.57
-1.16,0.632
-0.147,-0.192
0.57,-0.467
0.342,0.509
-0.192,-1.16
-0.147,0.57
0.342,-1.16
-0.467,0.509
0.632,-0.147
-0.192,0.342
0.509,-0.147
-1.16,-0.467
0.57,0.342
-0.192,0.632
-1.16,0.509
-0.192,-0.467
0.632,0.57
0.342,-0.192
-0.147,-1.16
-0.467,0.632
-0.192,0.509
-0.147,-0.467
0.342,0.632
-1.16,0.509
-0.147,0.342
-0.192,0.57
0.342,-0.467
-0.147,0.57
0.342,0.509
0.632,-1.16
0.57,-0.467
-0.147,-0.192
-1.16,0.342
-0.147,0.632
0.509,0.57
-1.16,-0.192
-0.467,0.509
0.57,0.342
0.632,-0.192
-0.467,-1.16
0.509,-0.147
0.57,0.632
-0.467,-0.192
-1.16,0.57
0.509,0.632
0.632,0.342
0.509,-0.192
-0.192,0.632
0.297,0.951
-0.191,-0.35200000000000004
-0.483,0.311
-0.789,0.203
0.951,-0.191
-0.483,-0.789
0.203,-0.191
0.311,0.951
-0.35200000000000004,-0.789
-0.191,-0.483
0.203,0.297
-0.191,0.311
-0.483,-0.35200000000000004
0.951,0.203
0.297,-0.789
0.311,-0.35200000000000004
-0.789,-0.191
-0.483,0.297
0.203,0.311
0.951,-0.35200000000000004
0.297,-0.789
-0.191,-0.483
0.203,-0.35200000000000004
0.951,0.311
-0.789,-0.483
0.297,-0.191
0.951,0.203
-0.35200000000000004,-0.483
-0.789,0.311
0.203,0.297
-0.191,-0.35200000000000004
0.951,-0.483
0.297,0.311
0.203,-0.483
-0.35200000000000004,0.951
0.297,-0.191
-0.789,0.311
0.203,-0.35200000000000004
-0.789,-0.191
-0.483,0.297
0.311,0.203
0.951,-0.191
-0.35200000000000004,0.297
0.311,-0.483
0.297,0.951
-0.789,0.203
-0.483,0.203
0.311,-0.35200000000000004
0.951,-0.789
0.311,-0.191
-0.35200000000000004,-0.789
0.951,-0.483
0.297,0.311
-0.191,0.203
0.311,0.203
0.951,-0.191
0.203,-0.191
-0.341,-0.297
1.084,-0.514
-0.478,0.021
0.21899999999999997,-0.341
-0.297,0.374
-0.514,0.021
-0.478,0.21899999999999997
0.374,-0.341
1.084,0.021
-0.514,0.21899999999999997
0.021,0.374
-0.297,-0.478
-0.514,-0.341
1.084,0.21899999999999997
-0.297,0.021
-0.478,0.374
-0.341,1.084
0.21899999999999997,0.374
-0.514,-0.478
0.374,1.084
0.021,0.21899999999999997
-0.297,-0.514
-0.341,-0.478
-0.514,0.374
1.084,-0.297
0.021,-0.341
-0.478,1.084
0.21899999999999997,0.374
0.021,-0.514
-0.341,-0.297
-0.478,0.21899999999999997
0.374,-0.514
1.084,-0.297
-0.341,-0.478
0.021,0.21899999999999997
-0.514,-0.297
0.374,1.084
-0.478,-0.514
-0.341,0.021
0.21899999999999997,-0.297
1.084,-0.478
