match_day,match_no,day,time_IST,time_UAE,venue,home,away,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),,Toss_Winner
1,1,SAT,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,CHENNAI SUPER KINGS,668.8,612.2,563.4,646.6,0.571428571,0.640449438,0.507,0.361,696.8333333,741.55,,CHENNAI SUPER KINGS
2,2,SUN,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,KINGS XI PUNJAB,654.8,607,650,525,0.466666667,0.432098765,-0.23,-0.26,582.0833333,629.875,,KINGS XI PUNJAB
3,3,MON,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE,669.6,614,675.8,654,0.5,0.50617284,0.486,-0.589,734.5,701.4166667,,ROYAL CHALLENGERS BANGALORE
4,4,TUE,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,CHENNAI SUPER KINGS,614.2,612.2,617.6,646.6,0.525,0.640449438,-0.093,0.361,649.85,741.55,,RAJASTHAN ROYALS
5,5,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS,583.4,668.8,618,563.4,0.576086957,0.571428571,0.6,0.507,668.0416667,696.8333333,,MUMBAI INDIANS
6,6,THU,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE,607,614,525,654,0.432098765,0.50617284,-0.26,-0.589,629.875,701.4166667,,ROYAL CHALLENGERS BANGALORE
7,7,FRI,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,DELHI CAPITALS,612.2,654.8,646.6,650,0.640449438,0.466666667,0.361,-0.23,741.55,582.0833333,,CHENNAI SUPER KINGS
8,8,SAT,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD,583.4,669.6,618,675.8,0.576086957,0.5,0.6,0.486,668.0416667,734.5,,KOLKATA KNIGHT RIDERS
9,9,SUN,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,KINGS XI PUNJAB,614.2,607,617.6,525,0.525,0.432098765,-0.093,-0.26,649.85,629.875,,RAJASTHAN ROYALS
10,10,MON,7:30PM,6:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS,614,668.8,654,563.4,0.50617284,0.571428571,-0.589,0.507,701.4166667,696.8333333,,ROYAL CHALLENGERS BANGALORE
11,11,TUE,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,SUNRISERS HYDERABAD,654.8,669.6,650,675.8,0.466666667,0.5,-0.23,0.486,582.0833333,734.5,,SUNRISERS HYDERABAD
12,12,WED,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS,614.2,583.4,617.6,618,0.525,0.576086957,-0.093,0.6,649.85,668.0416667,,KOLKATA KNIGHT RIDERS
13,13,THU,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,MUMBAI INDIANS,607,668.8,525,563.4,0.432098765,0.571428571,-0.26,0.507,629.875,696.8333333,,MUMBAI INDIANS
