Teams,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kings XI Punjab,804,634,586,436,661,560,779,508,662,637,572,656
Chennai Super Kings,807,802,539,602,541,526,651,578,0,0,648,658
Deccan Chargers,617,808,494,479,525,0,0,0,0,0,0,0
Kolkata Knight Riders,536,726,822,523,508,536,610,598,610,623,497,589
Rajasthan Royals,642,585,690,553,596,522,687,570,0,0,549,743
Mumbai Indians,556,633,663,575,554,546,564,782,659,697,590,616
Delhi Capitals,579,40,636,413,723,574,609,648,626,612,851,537
Royal Challengers Bangalore,509,822,620,501,484,674,577,617,613,477,722,641
Kochi Tuskers Kerala,0,0,0,422,0,0,0,0,0,0,0,0
Pune Warriors,0,0,0,546,458,514,0,0,0,0,0,0
Sunrisers Hyderabad,0,0,0,0,0,598,573,749,603,765,621,610
Rising Pune Supergiants,0,0,0,0,0,0,0,0,764,589,0,0
Gujarat Lions,0,0,0,0,0,0,0,0,513,650,0,0
