Most Value Player Points(Team A),Most Value Player Points(Team B)
514.5,517.5
680.0,727.0
917.0,517.5
724.0,517.5
598.0,514.5
727.0,917.0
598.0,517.5
680.0,724.0
598.0,917.0
727.0,724.0
517.5,917.0
514.5,680.0
724.0,598.0
517.5,727.0
680.0,517.5
514.5,724.0
517.5,517.5
598.0,727.0
917.0,514.5
680.0,517.5
727.0,514.5
517.5,598.0
724.0,517.5
680.0,917.0
517.5,727.0
680.0,598.0
917.0,724.0
517.5,680.0
514.5,517.5
598.0,917.0
680.0,727.0
514.5,598.0
517.5,917.0
517.5,727.0
514.5,517.5
680.0,724.0
517.5,598.0
514.5,724.0
517.5,727.0
917.0,517.5
724.0,598.0
514.5,680.0
517.5,517.5
514.5,917.0
727.0,724.0
517.5,680.0
598.0,727.0
724.0,517.5
917.0,680.0
598.0,517.5
727.0,514.5
724.0,917.0
598.0,680.0
517.5,724.0
727.0,917.0
917.0,517.5
727.0,680.0
680.0,917.0
611.5,712.0
681.5,601.5
634.5,681.5
484.0,751.0
712.0,681.5
634.5,484.0
751.0,681.5
681.5,712.0
601.5,484.0
681.5,634.5
751.0,611.5
681.5,681.5
634.5,601.5
712.0,751.0
611.5,484.0
681.5,601.5
484.0,681.5
634.5,611.5
751.0,681.5
712.0,601.5
611.5,484.0
681.5,634.5
751.0,601.5
712.0,681.5
484.0,634.5
611.5,681.5
712.0,751.0
601.5,634.5
484.0,681.5
751.0,611.5
681.5,601.5
712.0,634.5
611.5,681.5
751.0,634.5
601.5,712.0
611.5,681.5
484.0,681.5
751.0,601.5
484.0,681.5
634.5,611.5
681.5,751.0
712.0,681.5
601.5,611.5
681.5,634.5
611.5,712.0
484.0,751.0
634.5,751.0
681.5,601.5
712.0,484.0
681.5,681.5
601.5,484.0
712.0,634.5
611.5,681.5
681.5,751.0
681.5,751.0
712.0,681.5
751.0,681.5
562.5,748.5
699.5,577.5
603.0,822.0
822.0,562.5
748.5,698.5
577.5,822.0
603.0,822.0
698.5,562.5
699.5,822.0
577.5,822.0
822.0,698.5
748.5,603.0
577.5,562.5
699.5,822.0
748.5,822.0
