Teams,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kings XI Punjab,804,634,586,436,661,560,779,508,662,637,572,656,607.0
Chennai Super Kings,807,802,539,602,541,526,651,578,0,0,648,658,612.2
Deccan Chargers,617,808,494,479,525,0,0,0,0,0,0,0,0.0
Kolkata Knight Riders,536,726,822,523,508,536,610,598,610,623,497,589,583.4
Rajasthan Royals,642,585,690,553,596,522,687,570,0,0,549,743,614.2
Mumbai Indians,556,633,663,575,554,546,564,782,659,697,590,616,668.8
Delhi Capitals,579,40,636,413,723,574,609,648,626,612,851,537,654.8
Royal Challengers Bangalore,509,822,620,501,484,674,577,617,613,477,722,641,614.0
Kochi Tuskers Kerala,0,0,0,422,0,0,0,0,0,0,0,0,0.0
Pune Warriors,0,0,0,546,458,514,0,0,0,0,0,0,0.0
Sunrisers Hyderabad,0,0,0,0,0,598,573,749,603,765,621,610,669.6
Rising Pune Supergiants,0,0,0,0,0,0,0,0,764,589,0,0,270.6
Gujarat Lions,0,0,0,0,0,0,0,0,513,650,0,0,232.6
