Top Baller Points(Team A),Top Baller Points(Team B)
730,393
564,538
571,590
970,393
603,730
538,571
603,590
564,970
603,571
538,970
393,571
730,564
970,603
590,538
564,393
730,970
590,393
603,538
571,730
564,590
538,730
393,603
970,590
564,571
393,538
564,603
571,970
590,564
730,393
603,571
564,538
730,603
590,571
393,538
730,590
564,970
590,603
730,970
590,538
571,393
970,603
730,564
393,590
730,571
538,970
393,564
603,538
970,590
571,564
603,393
538,730
970,571
603,564
393,970
538,571
571,590
538,564
564,571
677,777
671,723
593,134
529,775
777,671
593,529
775,671
134,777
723,529
671,593
775,677
671,134
593,723
777,775
677,529
134,723
529,671
593,677
775,134
777,723
677,529
671,593
775,723
777,134
529,593
677,671
777,775
723,593
529,134
775,677
671,723
777,593
677,134
775,593
723,777
677,671
529,134
775,723
529,671
593,677
134,775
777,671
723,677
134,593
677,777
529,775
593,775
134,723
777,529
134,671
723,529
777,593
677,134
671,775
134,775
777,671
775,671
669,628
574,591
473,878
573,669
628,658
591,878
473,573
658,669
574,878
591,573
878,658
628,473
591,669
574,573
628,878
473,658
669,574
573,658
591,473
658,574
878,573
628,591
669,473
591,658
574,628
878,669
473,574
573,658
878,591
669,628
473,573
658,591
574,628
669,473
878,573
591,628
658,574
473,591
669,878
573,628
574,473
658,628
669,573
878,473
574,591
628,573
574,878
669,658
591,573
658,878
473,628
574,573
591,669
473,658
628,878
574,669
574,573
658,628
628,573
658,574
441,491
691,384
414,595
449,402
523,654
491,691
449,384
595,402
441,523
414,654
691,595
384,491
402,414
441,595
691,523
654,449
384,491
441,414
691,449
654,402
414,491
523,384
402,441
491,595
449,523
402,691
414,384
441,654
449,595
654,441
691,414
491,449
402,384
595,654
449,414
523,491
654,384
441,691
402,523
449,414
491,691
384,441
402,654
414,491
691,449
595,523
441,491
402,449
414,595
523,654
441,384
691,654
523,402
384,595
441,449
414,523
491,595
691,402
523,449
384,414
654,691
523,595
441,414
654,491
402,384
691,523
449,654
441,595
491,402
595,441
491,402
595,402
441,595
519,609
636,520
405,609
763,665
395,520
519,538
763,636
405,665
538,609
636,395
519,520
609,763
395,519
405,665
763,636
519,405
665,636
763,395
609,520
538,763
405,395
665,636
538,520
519,405
665,395
763,519
405,520
609,665
538,636
395,763
405,520
665,609
538,405
520,609
665,519
636,395
520,763
538,609
519,636
538,405
763,520
395,665
609,405
519,538
636,405
763,665
519,609
538,395
520,636
405,763
665,538
609,395
538,520
763,519
395,405
609,636
520,519
763,405
538,665
395,609
636,519
665,520
636,609
519,665
395,520
763,538
665,520
636,405
538,395
763,609
636,520
519,609
519,520
519,636
299,622
678,747
667,569
480,299
747,514
569,474
678,667
480,622
747,299
667,678
474,514
622,678
480,569
299,667
747,569
678,514
622,667
474,480
569,514
474,622
299,678
667,569
480,747
514,299
474,667
622,514
480,678
747,299
569,474
480,514
678,569
299,474
622,747
667,514
474,622
667,480
747,678
514,622
299,569
678,480
747,474
514,569
747,667
622,299
514,474
678,569
480,622
299,667
747,514
569,480
678,474
299,480
747,622
514,667
474,480
622,569
678,299
569,747
667,474
678,622
514,480
667,747
678,474
514,299
569,622
747,480
474,299
667,480
474,747
678,514
569,299
622,667
514,747
667,480
480,747
747,514
547,794
475,516
695,644
483,830
794,516
547,475
830,644
695,475
644,483
695,830
547,516
483,475
794,695
516,830
644,547
794,475
483,695
516,644
830,547
483,794
695,547
644,794
475,830
483,516
830,547
475,695
794,516
475,547
644,695
483,830
644,516
475,483
794,695
644,547
516,830
483,794
830,695
516,475
483,644
794,547
830,475
695,516
483,547
794,830
475,644
516,483
695,547
644,794
547,516
695,483
794,475
644,830
516,695
483,547
475,644
830,794
547,644
794,695
644,695
644,547
546,634
657,712
533,590
657,696
634,546
712,533
590,546
546,696
546,533
590,712
696,533
546,657
712,696
590,634
657,533
546,546
712,634
533,590
696,634
657,546
712,546
533,546
546,696
657,590
712,546
696,590
657,634
546,533
657,634
590,712
546,533
634,546
696,657
546,590
533,712
657,546
634,696
712,546
546,590
634,712
696,533
657,546
590,634
696,712
546,546
657,533
696,590
657,712
590,546
546,634
696,546
590,657
533,634
712,546
696,546
546,657
546,533
546,657
546,657
393,719
580,833
563,500
692,650
833,393
719,500
