Top Batsmen Points(Team A),Top Batsmen Points(Team B)
536,509
807,804
642,536
556,509
617,536
804,642
617,536
807,556
617,642
804,556
509,642
536,807
556,617
536,804
807,509
536,556
536,509
617,804
642,536
807,536
804,536
509,617
556,536
807,642
509,804
807,617
642,556
536,807
536,509
617,642
807,804
536,617
536,642
509,804
536,536
807,556
536,617
536,556
536,804
642,509
556,617
536,807
509,536
536,642
804,556
509,807
617,804
556,536
642,807
617,509
804,536
556,642
617,807
509,556
804,642
642,536
804,807
807,642
633,802
822,585
634,726
726,808
802,822
634,726
808,822
726,802
585,726
822,634
808,633
822,726
634,585
802,808
633,726
726,585
726,822
634,633
808,726
802,585
633,726
822,634
808,585
802,726
726,634
633,822
802,808
585,634
726,726
808,633
822,585
802,634
633,726
808,634
585,802
633,822
726,726
808,585
726,822
634,633
726,808
802,822
585,633
726,634
633,802
726,808
634,808
726,585
802,726
726,822
585,726
802,634
633,726
822,808
726,808
802,822
808,822
822,494
663,690
586,822
620,822
494,539
690,822
586,620
539,822
663,822
690,620
822,539
494,586
690,822
663,620
494,822
586,539
822,663
620,539
690,586
539,663
822,620
494,690
822,586
690,539
663,494
822,822
586,663
620,539
822,690
822,494
586,620
539,690
663,494
822,586
822,620
690,494
539,663
586,690
822,822
620,494
663,586
539,494
822,620
822,586
663,690
494,620
663,822
822,539
690,620
539,822
586,494
663,620
690,822
586,539
494,822
663,822
663,620
539,494
494,620
539,663
602,523
479,553
422,501
523,575
436,546
523,479
523,553
501,575
602,436
422,546
479,501
553,523
575,422
602,501
479,436
546,523
553,523
602,422
479,523
546,575
422,523
436,553
575,602
523,501
523,436
575,479
422,553
602,546
523,501
546,602
479,422
523,523
575,553
501,546
523,422
436,523
546,553
602,479
575,436
523,422
523,479
553,602
575,546
422,523
479,523
501,436
602,523
575,523
422,501
436,546
602,553
479,546
436,575
553,501
602,523
422,436
523,501
479,575
436,523
553,422
546,479
436,501
602,422
546,523
575,553
479,436
523,546
602,501
523,575
501,602
523,575
501,575
602,501
541,554
508,508
458,554
596,661
484,508
541,525
596,508
458,661
525,554
508,484
541,508
554,596
484,541
458,661
596,508
541,458
661,508
596,484
554,508
525,596
458,484
661,508
525,508
541,458
661,484
596,541
458,508
554,661
525,508
484,596
458,508
661,554
525,458
508,554
661,541
508,484
508,596
525,554
541,508
525,458
596,508
484,661
554,458
541,525
508,458
596,661
541,554
525,484
508,508
458,596
661,525
554,484
525,508
596,541
484,458
554,508
508,541
596,458
525,661
484,554
508,541
661,508
508,554
541,661
484,508
596,525
661,508
508,458
525,484
596,554
508,508
541,554
541,508
541,508
536,536
674,546
598,514
522,536
546,526
514,560
674,598
522,536
546,536
598,674
560,526
536,674
522,514
536,598
546,514
674,526
536,598
560,522
514,526
560,536
536,674
598,514
522,546
526,536
560,598
536,526
522,674
546,536
514,560
522,526
674,514
536,560
536,546
598,526
560,536
598,522
546,674
526,536
536,514
674,522
546,560
526,514
546,598
536,536
526,560
674,514
522,536
536,598
546,526
514,522
674,560
536,522
546,536
526,598
560,522
536,514
674,536
514,546
598,560
674,536
526,522
598,546
674,560
526,536
514,536
546,522
560,536
598,522
560,546
674,526
514,536
536,598
526,546
598,522
522,546
546,526
610,564
610,577
651,779
573,687
564,577
610,610
687,779
651,610
779,573
651,687
610,577
573,610
564,651
