,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
MI,970,677,574,402,609,747,794,546,393,644,475,759
DEC,603,775,628,691,538,0,0,0,0,0,0,0
RCB,393,671,573,595,395,678,516,546,692,852,611,569
DC,590,134,878,449,520,299,475,712,580,452,696,810
KXIP,538,593,473,523,665,474,644,590,563,580,446,446
PWI,0,0,0,654,405,569,0,0,0,0,0,0
KTK,0,0,0,414,0,0,0,0,0,0,0,0
RPS,0,0,0,0,0,0,0,0,719,707,0,0
GL,0,0,0,0,0,0,0,0,500,518,0,0
SRH,0,0,0,0,0,667,483,696,650,682,690,661
RR,571,723,591,384,763,480,830,533,0,0,637,608
CSK,564,777,658,441,519,514,695,657,0,0,667,700
KKR,730,529,669,491,636,622,547,634,833,560,657,406
