match_day,match_no,day,time_IST,time_UAE,venue,home,away
1,1,SAT,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,CHENNAI SUPER KINGS
2,2,SUN,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,KINGS XI PUNJAB
3,3,MON,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,ROYAL CHALLENGERS BANGALORE
4,4,TUE,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,CHENNAI SUPER KINGS
5,5,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,MUMBAI INDIANS
6,6,THU,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,ROYAL CHALLENGERS BANGALORE
7,7,FRI,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,DELHI CAPITALS
8,8,SAT,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,SUNRISERS HYDERABAD
9,9,SUN,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,KINGS XI PUNJAB
10,10,MON,7:30PM,6:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,MUMBAI INDIANS
11,11,TUE,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,SUNRISERS HYDERABAD
12,12,WED,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,KOLKATA KNIGHT RIDERS
13,13,THU,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,MUMBAI INDIANS
14,14,FRI,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,SUNRISERS HYDERABAD
15,15,SAT,3:30PM,2:00PM,ABU DHABI,ROYAL CHALLENGERS BANGALORE,RAJASTHAN ROYALS
15,16,SAT,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,KOLKATA KNIGHT RIDERS
16,17,SUN,3:30PM,2:00PM,SHARJAH,MUMBAI INDIANS,SUNRISERS HYDERABAD
16,18,SUN,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,CHENNAI SUPER KINGS
17,19,MON,7:30PM,6:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,DELHI CAPITALS
18,20,TUE,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,RAJASTHAN ROYALS
19,21,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,CHENNAI SUPER KINGS
20,22,THU,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,KINGS XI PUNJAB
21,23,FRI,7:30PM,6:00PM,SHARJAH,RAJASTHAN ROYALS,DELHI CAPITALS
22,24,SAT,3:30PM,2:00PM,ABU DHABI,KINGS XI PUNJAB,KOLKATA KNIGHT RIDERS
22,25,SAT,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,ROYAL CHALLENGERS BANGALORE
23,26,SUN,3:30PM,2:00PM,DUBAI,SUNRISERS HYDERABAD,RAJASTHAN ROYALS
23,27,SUN,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,DELHI CAPITALS
24,28,MON,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KOLKATA KNIGHT RIDERS
25,29,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,CHENNAI SUPER KINGS
26,30,WED,7:30PM,6:00PM,DUBAI,DELHI CAPITALS,RAJASTHAN ROYALS
27,31,THU,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,KINGS XI PUNJAB
28,32,FRI,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,KOLKATA KNIGHT RIDERS
29,33,SAT,3:30PM,2:00PM,DUBAI,RAJASTHAN ROYALS,ROYAL CHALLENGERS BANGALORE
29,34,SAT,7:30PM,6:00PM,SHARJAH,DELHI CAPITALS,CHENNAI SUPER KINGS
30,35,SUN,3:30PM,2:00PM,ABU DHABI,SUNRISERS HYDERABAD,KOLKATA KNIGHT RIDERS
30,36,SUN,7:30PM,6:00PM,DUBAI,MUMBAI INDIANS,KINGS XI PUNJAB
31,37,MON,7:30PM,6:00PM,ABU DHABI,CHENNAI SUPER KINGS,RAJASTHAN ROYALS
32,38,TUE,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,DELHI CAPITALS
33,39,WED,7:30PM,6:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,ROYAL CHALLENGERS BANGALORE
34,40,THU,7:30PM,6:00PM,DUBAI,RAJASTHAN ROYALS,SUNRISERS HYDERABAD
35,41,FRI,7:30PM,6:00PM,SHARJAH,CHENNAI SUPER KINGS,MUMBAI INDIANS
36,42,SAT,3:30PM,2:00PM,ABU DHABI,KOLKATA KNIGHT RIDERS,DELHI CAPITALS
36,43,SAT,7:30PM,6:00PM,DUBAI,KINGS XI PUNJAB,SUNRISERS HYDERABAD
37,44,SUN,3:30PM,2:00PM,DUBAI,ROYAL CHALLENGERS BANGALORE,CHENNAI SUPER KINGS
37,45,SUN,7:30PM,6:00PM,ABU DHABI,RAJASTHAN ROYALS,MUMBAI INDIANS
38,46,MON,7:30PM,6:00PM,SHARJAH,KOLKATA KNIGHT RIDERS,KINGS XI PUNJAB
39,47,TUE,7:30PM,6:00PM,DUBAI,SUNRISERS HYDERABAD,DELHI CAPITALS
40,48,WED,7:30PM,6:00PM,ABU DHABI,MUMBAI INDIANS,ROYAL CHALLENGERS BANGALORE
41,49,THU,7:30PM,6:00PM,DUBAI,CHENNAI SUPER KINGS,KOLKATA KNIGHT RIDERS
42,50,FRI,7:30PM,6:00PM,ABU DHABI,KINGS XI PUNJAB,RAJASTHAN ROYALS
43,51,SAT,3:30PM,2:00PM,DUBAI,DELHI CAPITALS,MUMBAI INDIANS
43,52,SAT,7:30PM,6:00PM,SHARJAH,ROYAL CHALLENGERS BANGALORE,SUNRISERS HYDERABAD
44,53,SUN,3:30PM,2:00PM,ABU DHABI,CHENNAI SUPER KINGS,KINGS XI PUNJAB
44,54,SUN,7:30PM,6:00PM,DUBAI,KOLKATA KNIGHT RIDERS,RAJASTHAN ROYALS
45,55,MON,7:30PM,6:00PM,ABU DHABI,DELHI CAPITALS,ROYAL CHALLENGERS BANGALORE
46,56,TUE,7:30PM,6:00PM,SHARJAH,SUNRISERS HYDERABAD,MUMBAI INDIANS
