team A,team B,Team A Ground,Team B Ground,Top Batsmen Points(Team A),Top Batsmen Points(Team B),Top Baller Points(Team A),Top Baller Points(Team B),Match Won after winning Toss Team A,Match Won after winning Toss Team B,Run Rate(Team A),Run Rate(Team B),Most Value Player Points(Team A),Most Value Player Points(Team B),Toss_Winner,runs in pp team a,runs in pp team b,Win ratio (Team A),Win ratio (Team B)
MI,CSK,home,away,668.8,612.2,563.4,646.6,0.571428571,0.640449438,0.507,0.361,696.8333332999999,741.55,CSK,42,47,0.61,0.39
DC,KXIP,home,away,654.8,607.0,650.0,525.0,0.46666666700000003,0.432098765,-0.23,-0.26,582.0833332999999,629.875,KXIP,57,52,0.41,0.59
SRH,RCB,home,away,669.6,614.0,675.8,654.0,0.5,0.50617284,0.486,-0.589,734.5,701.4166667000001,RCB,53,47,0.57,0.43
RR,CSK,home,away,614.2,612.2,617.6,646.6,0.525,0.640449438,-0.09300000000000001,0.361,649.85,741.55,RR,45,46,0.33,0.67
KKR,MI,home,away,583.4,668.8,618.0,563.4,0.576086957,0.571428571,0.6,0.507,668.0416667000001,696.8333332999999,MI,42,45,0.24,0.76
KXIP,RCB,home,away,607.0,614.0,525.0,654.0,0.432098765,0.50617284,-0.26,-0.589,629.875,701.4166667000001,RCB,47,48,0.5,0.5
CSK,DC,home,away,612.2,654.8,646.6,650.0,0.640449438,0.46666666700000003,0.361,-0.23,741.55,582.0833332999999,CSK,44,48,0.67,0.33
KKR,SRH,home,away,583.4,669.6,618.0,675.8,0.576086957,0.5,0.6,0.486,668.0416667000001,734.5,KKR,46,49,0.59,0.41
RR,KXIP,home,away,614.2,607.0,617.6,525.0,0.525,0.432098765,-0.09300000000000001,-0.26,649.85,629.875,RR,50,45,0.43,0.47
RCB,MI,home,away,614.0,668.8,654.0,563.4,0.50617284,0.571428571,-0.589,0.507,701.4166667000001,696.8333332999999,RCB,44,46,0.36,0.64
DC,SRH,home,away,654.8,669.6,650.0,675.8,0.46666666700000003,0.5,-0.23,0.486,582.0833332999999,734.5,SRH,48,55,0.33,0.67
RR,KKR,home,away,614.2,583.4,617.6,618.0,0.525,0.576086957,-0.09300000000000001,0.6,649.85,668.0416667000001,KKR,45,43,0.5,0.5
