id,season,team A,team B,Win_ratio_A,Win_ratio_B
1,2017,Royal Challengers Bangalore,Sunrisers Hyderabad,0.44,0.56
2,2017,Royal Challengers Bangalore,Delhi Daredevils,0.625,0.375
3,2017,Royal Challengers Bangalore,Kings XI Punjab,0.44,0.56
4,2017,Royal Challengers Bangalore,Mumbai Indians,0.42,0.58
5,2017,Royal Challengers Bangalore,Rising Pune Supergiants,1,0
6,2017,Royal Challengers Bangalore,Gujarat Lions,0.67,0.33
7,2017,Royal Challengers Bangalore,Kolkata Knight Riders,0.5,0.5
8,2017,Royal Challengers Bangalore,Chennai Super Kings,0.37,0.63
9,2017,Royal Challengers Bangalore,Rajasthan Royals,0.53,0.47
10,2017,Royal Challengers Bangalore,Deccan Chargers,0.46,0.54
11,2017,Royal Challengers Bangalore,Kochi Tuskers Kerala,1,0
12,2017,Royal Challengers Bangalore,Pune Warriors,1,0
13,2017,Sunrisers Hyderabad,Delhi Daredevils,0.625,0.375
14,2017,Sunrisers Hyderabad,Kings XI Punjab,0.75,0.25
15,2017,Sunrisers Hyderabad,Mumbai Indians,0.5,0.5
16,2017,Sunrisers Hyderabad,Rising Pune Supergiants,0.5,0.5
17,2017,Sunrisers Hyderabad,Gujarat Lions,1,0
18,2017,Sunrisers Hyderabad,Kolkata Knight Riders,0.33,0.67
19,2017,Sunrisers Hyderabad,Chennai Super Kings,0.33,0.67
20,2017,Sunrisers Hyderabad,Rajasthan Royals,0.43,0.57
21,2017,Sunrisers Hyderabad,Deccan Chargers,0,0
22,2017,Sunrisers Hyderabad,Kochi Tuskers Kerala,0,0
23,2017,Sunrisers Hyderabad,Pune Warriors,1,0
24,2017,Delhi Daredevils,Kings XI Punjab,0.44,0.56
25,2017,Delhi Daredevils,Mumbai Indians,0.5,0.5
26,2017,Delhi Daredevils,Rising Pune Supergiants,0,1
27,2017,Delhi Daredevils,Gujarat Lions,0.5,0.5
28,2017,Delhi Daredevils,Kolkata Knight Riders,0.41,0.59
29,2017,Delhi Daredevils,Chennai Super Kings,0.31,0.69
30,2017,Delhi Daredevils,Rajasthan Royals,0.375,0.625
31,2017,Delhi Daredevils,Deccan Chargers,0.63,0.37
32,2017,Delhi Daredevils,Kochi Tuskers Kerala,0.5,0.5
33,2017,Delhi Daredevils,Pune Warriors,0.6,0.4
34,2017,Kings XI Punjab,Mumbai Indians,0.5,0.5
35,2017,Kings XI Punjab,Rising Pune Supergiants,0.5,0.5
36,2017,Kings XI Punjab,Gujarat Lions,0.5,0.5
37,2017,Kings XI Punjab,Kolkata Knight Riders,0.32,0.68
38,2017,Kings XI Punjab,Chennai Super Kings,0.41,0.59
39,2017,Kings XI Punjab,Rajasthan Royals,0.4,0.6
40,2017,Kings XI Punjab,Deccan Chargers,0.7,0.3
41,2017,Kings XI Punjab,Kochi Tuskers Kerala,1,0
42,2017,Kings XI Punjab,Pune Warriors,0.5,0.5
43,2017,Mumbai Indians,Rising Pune Supergiants,0.5,0.5
44,2017,Mumbai Indians,Gujarat Lions,0,1
45,2017,Mumbai Indians,Kolkata Knight Riders,0.72,0.28
46,2017,Mumbai Indians,Chennai Super Kings,0.55,0.45
47,2017,Mumbai Indians,Rajasthan Royals,0.625,0.375
48,2017,Mumbai Indians,Deccan Chargers,0.6,0.4
49,2017,Mumbai Indians,Kochi Tuskers Kerala,0,1
50,2017,Mumbai Indians,Pune Warriors,0.83,0.17
51,2017,Rising Pune Supergiants,Gujarat Lions,0,1
52,2017,Rising Pune Supergiants,Kolkata Knight Riders,0,1
53,2017,Rising Pune Supergiants,Chennai Super Kings,0,0
54,2017,Rising Pune Supergiants,Rajasthan Royals,0,0
55,2017,Rising Pune Supergiants,Deccan Chargers,0,0
56,2017,Rising Pune Supergiants,Kochi Tuskers Kerala,0,0
