batting_team,bowling_team,over,total_runs
Royal Challengers Bangalore,Sunrisers Hyderabad,1,1
Royal Challengers Bangalore,Sunrisers Hyderabad,1,0
Royal Challengers Bangalore,Sunrisers Hyderabad,1,0
Royal Challengers Bangalore,Sunrisers Hyderabad,1,2
Royal Challengers Bangalore,Sunrisers Hyderabad,1,4
Royal Challengers Bangalore,Sunrisers Hyderabad,1,4
Royal Challengers Bangalore,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,2,1
Royal Challengers Bangalore,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,2,0
Royal Challengers Bangalore,Sunrisers Hyderabad,3,0
Royal Challengers Bangalore,Sunrisers Hyderabad,3,4
Royal Challengers Bangalore,Sunrisers Hyderabad,3,1
Royal Challengers Bangalore,Sunrisers Hyderabad,3,4
Royal Challengers Bangalore,Sunrisers Hyderabad,3,1
Royal Challengers Bangalore,Sunrisers Hyderabad,3,6
Royal Challengers Bangalore,Sunrisers Hyderabad,4,1
Royal Challengers Bangalore,Sunrisers Hyderabad,4,6
Royal Challengers Bangalore,Sunrisers Hyderabad,4,2
Royal Challengers Bangalore,Sunrisers Hyderabad,4,1
Royal Challengers Bangalore,Sunrisers Hyderabad,4,0
Royal Challengers Bangalore,Sunrisers Hyderabad,4,1
Royal Challengers Bangalore,Sunrisers Hyderabad,4,4
Royal Challengers Bangalore,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,5,1
Royal Challengers Bangalore,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,5,0
Royal Challengers Bangalore,Sunrisers Hyderabad,5,4
Royal Challengers Bangalore,Sunrisers Hyderabad,6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,6,4
Royal Challengers Bangalore,Sunrisers Hyderabad,6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,6,0
Royal Challengers Bangalore,Sunrisers Hyderabad,6,2
Royal Challengers Bangalore,Sunrisers Hyderabad,6,0
Rising Pune Supergiant,Mumbai Indians,1,1
Rising Pune Supergiant,Mumbai Indians,1,4
Rising Pune Supergiant,Mumbai Indians,1,1
Rising Pune Supergiant,Mumbai Indians,1,1
Rising Pune Supergiant,Mumbai Indians,1,0
Rising Pune Supergiant,Mumbai Indians,1,0
Rising Pune Supergiant,Mumbai Indians,1,1
Rising Pune Supergiant,Mumbai Indians,2,4
Rising Pune Supergiant,Mumbai Indians,2,4
Rising Pune Supergiant,Mumbai Indians,2,1
